chad.frami@gmail.com,Husein Syahfikri,85155345149,102,Tes ga sih,1/19/2024 13:15,1/20/2024 13:15,50,pending
chad.frami@gmail.com,Bessie Predovic,-2896,102,Validator,1/9/2024 7:49,1/10/2024 7:49,50,pending
chad.frami@gmail.com,Bessie Predovic,-2896,102,Tes malam,12/29/2023 20:24,12/30/2023 20:24,70,pending
user1@gmail.com,Ricky Yahya,85155345149,102,tes,12/29/2023 20:21,12/30/2023 20:21,50,accepted
admin@email.test,Iphone 12,8854665456,102,Tes ga sih,12/22/2023 19:32,12/23/2023 19:32,23,accepted
chad.frami@gmail.com,Bessie Predovic,-2896,102,Tes ga sih,1/12/2024 14:47,1/14/2024 14:47,9999,reject
chad.frami@gmail.com,Bessie Predovic,-2896,102,reject,1/6/2024 13:50,1/7/2024 13:50,9999,reject
dawn.predovic@abshire.biz,Dr. Major Huels II,14634036886,102,Pending,12/29/2023 13:49,12/30/2023 13:49,50,reject
user1@gmail.com,Iphone 12,85155345149,102,dSendal Baru,12/29/2023 13:36,1/5/2024 13:36,95,accepted
syahfikri03@gmail.com,Husein Syahfikri,85155345149,102,dSendal Baru,1/1/2024 11:25,1/5/2024 11:25,30,accepted
chad.frami@gmail.com,Bessie Predovic,-2896,102,Tes ga sih,12/29/2023 11:23,12/31/2023 11:23,9999,accepted
ricky@example.com,Ricky Yahya,85155345149,102,Validator,12/29/2023 10:00,1/5/2024 10:00,56,accepted
ricky@example.com,Ricky Yahya,85155345149,102,Validator,12/29/2023 11:49,1/2/2024 10:45,96,accepted
chad.frami@gmail.com,Bessie Predovic,-2896,102,workshop,12/8/2023 9:50,12/8/2023 9:50,40,accepted
